"","playerID","Full_name","position","Bats","Throws"
"7652","heflira01","Randolph Rutherford Heflin","Pitcher","Left","Right"
"7653","hefneje01","Jeremy Scott Hefner","Pitcher","Right","Right"
"7654","heganji01","James Edward Hegan","Catcher","Right","Right"
"7655","heganmi01","James Michael Hegan","First Baseman and Outfielder","Left","Left"
"7656","hehlja01","Herman Charles Hehl","Pitcher","Right","Right"
"7657","heideja01","Jack Seale Heidemann","Shortstop, Third Baseman and Second Baseman","Right","Right"
"7658","heidrem01","R Emmet Heidrick","Centerfielder","Left","Right"
"7659","heifefr01","Franklin Heifer","First Baseman, Outfielder and Pitcher","Unknown","Unknown"
"7660","heilech01","John George Heileman","Third Baseman and Second Baseman","Right","Right"
"7661","heilmaa01","Aaron Michael Heilman","Pitcher","Right","Right"
"7662","heilmha01","Harry Edwin Heilmann","Rightfielder and First Baseman","Right","Right"
"7663","heimafr01","Frederick Amos Heimach","Pitcher","Left","Left"
"7664","heimjo01","Jonah Nathan Heim","Catcher","Both","Right"
"7665","heimugo01","Gorman John Heimueller","Pitcher","Left","Left"
"7666","heimva01","Val Raymond Heim","Leftfielder","Left","Right"
"7667","heinebu01","William Henry Heine","Second Baseman","Left","Right"
"7668","heinesc01","Scott Matthew Heineman","Outfielder and First Baseman","Right","Right"
"7669","heinety01","Tyler Andrew Heineman","Catcher","Both","Right"
"7670","heinkdo01","Donald Elliott Heinkel","Pitcher","Left","Right"
"7671","heintch01","Christopher John Heintz","Catcher","Right","Right"
"7672","heintke01","Kenneth Alphonse Heintzelman","Pitcher","Right","Left"
"7673","heintto01","Thomas Kenneth Heintzelman","Pinch Hitter, Second Baseman and Third Baseman","Right","Right"
"7674","heisebo01","Robert Lowell Heise","Shortstop, Second Baseman and Third Baseman","Right","Right"
"7675","heisech01","Chris J. Heisey","Outfielder and Pinch Hitter","Right","Right"
"7676","heisecl01","Clarence Edward Heise","Pitcher","Left","Left"
"7677","heiseji01","James Edward Heise","Pitcher","Right","Right"
"7678","heiseri01","Richard Michael Heiserman","Pitcher","Right","Right"
"7679","heisero01","Leroy Barton Heiser","Pitcher","Right","Right"
"7680","heismcr01","Christian Ernst Heismann","Pitcher","Right","Left"
"7681","heistal01","Alfred Michael Heist","Centerfielder","Right","Right"
"7682","heitmha01","Henry Anton Heitmann","Pitcher","Right","Right"
"7683","heitmhe01","William Frederick Heitmuller","Leftfielder","Right","Right"
"7684","heldme01","Melvin Nicholas Held","Pitcher","Right","Right"
"7685","heldwo01","Woodson George Held","Shortstop, Outfielder and Second Baseman","Right","Right"
"7686","helfaer01","Eric James Helfand","Catcher","Left","Right"
"7687","helfha01","Henry Hartz Helf","Catcher","Right","Right"
"7688","hellebe01","Benjamin Heller","Pitcher","Right","Right"
"7689","helli01","","Second Baseman","Unknown","Unknown"
"7690","hellije01","Jeremy Robert Hellickson","Pitcher","Right","Right"
